date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:43:22	7534/7534	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2208729c534e1a1728742c1b89b1992731%22	https://docs.archia.app/robots.txt		(from )
16:43:22	25824/25824	---MCZ	200	added ('OK')	text/html	etag:W/%2208729c534e1a1728742c1b89b1992731%22	https://docs.archia.app/	C:/Users/pierc/OneDrive/Desktop/muidsi-hackathon-2026/archia/Archia%20Website%20Documentation/docs.archia.app/index.html	(from )
16:43:22	1835/1835	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222ab545f5294e510e3574d29bf08fc719%22	https://docs.archia.app/favicon-de23e50b.svg	C:/Users/pierc/OneDrive/Desktop/muidsi-hackathon-2026/archia/Archia%20Website%20Documentation/docs.archia.app/favicon-de23e50b.svg	(from https://docs.archia.app/)
16:43:22	5679/5679	---M--	200	added ('OK')	image/png	etag:%2299aa04c6ee89063ee9fe65f6544e3d0b%22	https://docs.archia.app/favicon-8114d1fc.png	C:/Users/pierc/OneDrive/Desktop/muidsi-hackathon-2026/archia/Archia%20Website%20Documentation/docs.archia.app/favicon-8114d1fc.png	(from https://docs.archia.app/)
16:43:23	10422/10422	---MCZ	200	added ('OK')	text/css	etag:W/%22569b867293c6bb17f2600982ddf1184a%22	https://docs.archia.app/css/variables-8adf115d.css	C:/Users/pierc/OneDrive/Desktop/muidsi-hackathon-2026/archia/Archia%20Website%20Documentation/docs.archia.app/css/variables-8adf115d.css	(from https://docs.archia.app/)
16:43:23	9913/9913	---MCZ	200	added ('OK')	text/css	etag:W/%223c44483c405ddd36d04db8bd3b062195%22	https://docs.archia.app/css/general-2459343d.css	C:/Users/pierc/OneDrive/Desktop/muidsi-hackathon-2026/archia/Archia%20Website%20Documentation/docs.archia.app/css/general-2459343d.css	(from https://docs.archia.app/)
16:43:23	17520/17520	---MCZ	200	added ('OK')	text/css	etag:W/%223cc393057e7143af69574349cfc9c243%22	https://docs.archia.app/css/chrome-ae938929.css	C:/Users/pierc/OneDrive/Desktop/muidsi-hackathon-2026/archia/Archia%20Website%20Documentation/docs.archia.app/css/chrome-ae938929.css	(from https://docs.archia.app/)
16:43:23	3818/3818	---MCZ	200	added ('OK')	text/css	etag:W/%2236a30b5aca0a7ccb48068f8bcba84f0f%22	https://docs.archia.app/fonts/fonts-9644e21d.css	C:/Users/pierc/OneDrive/Desktop/muidsi-hackathon-2026/archia/Archia%20Website%20Documentation/docs.archia.app/fonts/fonts-9644e21d.css	(from https://docs.archia.app/)
16:43:24	1209/1209	---MCZ	200	added ('OK')	text/css	etag:W/%2262ed9a90ba60945effe81e0fcb740c3f%22	https://docs.archia.app/highlight-493f70e1.css	C:/Users/pierc/OneDrive/Desktop/muidsi-hackathon-2026/archia/Archia%20Website%20Documentation/docs.archia.app/highlight-493f70e1.css	(from https://docs.archia.app/)
16:43:24	1694/1694	---MCZ	200	added ('OK')	text/css	etag:W/%2297a2817a1449af4ededd2d8ff3ae3ee6%22	https://docs.archia.app/tomorrow-night-4c0ae647.css	C:/Users/pierc/OneDrive/Desktop/muidsi-hackathon-2026/archia/Archia%20Website%20Documentation/docs.archia.app/tomorrow-night-4c0ae647.css	(from https://docs.archia.app/)
16:43:24	907/907	---M--	200	added ('OK')	text/css	etag:%22d53955cd48118c03f5d986ccae7ba3da%22	https://docs.archia.app/ayu-highlight-3fdfc3ac.css	C:/Users/pierc/OneDrive/Desktop/muidsi-hackathon-2026/archia/Archia%20Website%20Documentation/docs.archia.app/ayu-highlight-3fdfc3ac.css	(from https://docs.archia.app/)
16:43:24	1112694/1112694	---MCZ	200	added ('OK')	text/javascript	etag:W/%224a391f6e8c59d38dc5f6993c69475867%22	https://docs.archia.app/searchindex-0f3b809c.js	C:/Users/pierc/OneDrive/Desktop/muidsi-hackathon-2026/archia/Archia%20Website%20Documentation/docs.archia.app/searchindex-0f3b809c.js	(from https://docs.archia.app/)
